,uptime,temperature,humidity,aqi,winp,wind,weather,rtu2
600,2019/5/27 2:40,21,99,25,1,1,2,0.0
601,2019/5/27 3:10,21,99,25,1,6,3,0.0
602,2019/5/27 3:40,20,99,27,1,2,2,0.0
603,2019/5/27 4:10,20,99,27,1,1,3,0.0
604,2019/5/27 4:40,21,99,29,2,1,3,0.0
605,2019/5/27 20:10,23,64,73,3,0,4,0.0
606,2019/5/27 20:40,23,66,58,3,0,4,0.0
607,2019/5/27 21:10,22,66,58,3,5,4,0.0
608,2019/5/27 21:40,22,64,52,3,5,4,0.0
609,2019/5/27 22:10,21,67,52,3,5,4,0.0
610,2019/5/27 22:40,21,66,61,3,5,4,0.0
611,2019/5/27 23:10,20,77,61,3,0,3,0.0
612,2019/5/26 1:10,23,93,19,4,2,1,0.0
613,2019/5/26 1:40,22,93,19,3,4,1,0.0
614,2019/5/26 2:10,22,96,19,2,4,0,0.0
615,2019/5/26 2:40,21,99,18,2,4,0,0.0
616,2019/5/26 3:10,21,99,18,2,4,0,0.0
617,2019/5/26 3:40,21,99,20,2,2,0,0.0
618,2019/5/26 4:10,21,99,20,2,4,0,0.0
619,2019/5/26 4:40,21,99,20,2,4,0,0.0
620,2019/5/26 20:10,23,95,28,2,2,4,0.0
621,2019/5/26 20:40,22,96,29,2,2,4,0.0
622,2019/5/26 21:10,22,97,29,2,2,4,0.0
623,2019/5/26 21:30,22,96,29,2,2,4,0.0
624,2019/5/26 22:10,22,98,29,1,4,4,0.0
625,2019/5/26 22:40,22,99,24,1,2,4,0.0
626,2019/5/26 23:10,21,99,24,2,2,3,0.0
627,2019/5/25 1:10,25,68,75,1,1,1,0.0
628,2019/5/25 1:40,24,72,64,2,4,1,0.0
629,2019/5/25 2:10,24,72,64,2,2,1,0.0
630,2019/5/25 2:40,25,71,62,2,2,1,0.0
631,2019/5/25 3:10,25,73,62,2,2,1,0.0
632,2019/5/25 3:40,25,75,57,2,4,1,0.0
633,2019/5/25 4:10,25,76,57,1,4,1,0.0
634,2019/5/25 4:40,25,76,54,2,4,1,0.0
635,2019/5/25 20:10,23,93,22,2,4,1,0.0
636,2019/5/25 20:40,23,93,19,2,4,1,0.0
637,2019/5/25 21:10,23,93,19,2,4,1,0.0
638,2019/5/25 21:40,23,94,18,3,4,1,0.0
639,2019/5/25 22:10,23,94,18,2,4,1,0.0
640,2019/5/25 22:40,23,93,18,3,4,1,0.0
641,2019/5/25 23:10,23,93,18,3,4,1,0.0
642,2019/5/24 1:10,17,90,81,1,3,3,0.0
643,2019/5/24 2:10,16,91,85,1,6,3,0.0
644,2019/5/24 2:40,16,91,98,0,8,3,0.0
645,2019/5/24 3:10,16,95,98,0,8,3,0.0
646,2019/5/24 3:40,16,97,108,1,5,3,0.0
647,2019/5/24 4:10,16,96,108,0,8,3,0.0
648,2019/5/24 4:40,15,97,124,1,5,3,0.0
649,2019/5/24 20:05,28,59,54,2,2,1,0.0
650,2019/5/24 20:40,28,61,58,2,2,1,0.0
651,2019/5/24 21:10,27,64,58,2,2,1,0.0
652,2019/5/24 21:40,27,65,67,2,2,1,0.0
