,uptime,temperature,humidity,aqi,winp,wind,weather,rtu1
309,2020-04-14 22:55:00,14,72,66,2,4,4,0.0
310,2020-04-13 02:15:00,6,86,64,1,5,4,0.0
311,2020-04-13 03:07:00,4,94,65,2,6,4,0.0
312,2020-04-13 04:10:00,5,91,66,2,1,4,0.0
313,2020-04-13 04:58:00,4,93,69,1,7,4,0.0
314,2020-04-13 20:06:00,13,59,73,0,8,1,0.0
315,2020-04-13 21:13:00,11,75,86,1,2,1,0.0
316,2020-04-13 22:04:00,10,87,83,1,4,1,0.0
317,2020-04-13 23:03:00,10,89,82,1,4,3,0.0
318,2020-04-12 02:07:00,6,96,67,2,1,4,0.0
319,2020-04-12 03:04:00,6,97,69,3,1,4,0.0
320,2020-04-12 03:54:00,6,95,68,3,1,4,0.0
321,2020-04-12 20:14:00,15,41,62,2,1,4,0.0
322,2020-04-12 21:09:00,14,49,63,2,7,4,0.0
323,2020-04-12 22:10:00,12,54,66,2,7,4,0.0
324,2020-04-12 23:06:00,12,53,61,3,7,4,0.0
325,2020-04-11 01:00:00,10,95,52,2,3,0,0.0
326,2020-04-11 02:08:00,9,98,42,2,3,1,0.0
327,2020-04-11 03:06:00,9,99,29,3,3,0,0.0
328,2020-04-11 04:10:00,8,99,30,3,3,1,0.0
329,2020-04-11 20:54:00,6,93,49,2,1,1,0.0
330,2020-04-11 21:57:00,6,94,54,2,1,1,0.0
331,2020-04-11 22:55:00,6,97,57,2,1,4,0.0
332,2020-04-10 01:06:00,14,82,84,3,5,4,0.0
333,2020-04-10 02:08:00,13,85,82,3,5,4,0.0
334,2020-04-10 03:01:00,12,86,63,3,0,4,0.0
335,2020-04-10 03:56:00,11,89,57,3,5,4,0.0
336,2020-04-10 04:53:00,10,91,54,3,0,4,0.0
337,2020-04-10 20:01:00,15,74,64,3,5,1,0.0
338,2020-04-10 21:03:00,15,73,61,3,3,1,0.0
339,2020-04-10 22:05:00,13,80,55,3,5,1,0.0
340,2020-04-10 23:09:00,11,85,54,4,5,1,0.0
341,2020-04-09 02:05:00,9,99,68,1,7,4,0.0
342,2020-04-09 03:08:00,8,99,71,0,8,4,0.0
343,2020-04-09 03:58:00,8,99,70,0,8,4,0.0
344,2020-04-09 20:03:00,17,58,63,1,5,4,0.0
345,2020-04-09 21:09:00,15,67,78,2,0,4,0.0
346,2020-04-09 22:09:00,16,74,84,2,5,4,0.0
347,2020-04-09 23:05:00,16,73,82,3,5,4,0.0
348,2020-04-08 01:03:00,7,96,80,1,1,4,0.0
349,2020-04-08 02:10:00,6,98,93,1,5,4,0.0
350,2020-04-08 03:08:00,6,99,84,1,3,4,0.0
351,2020-04-08 03:55:00,5,99,81,0,8,4,0.0
352,2020-04-08 20:02:00,15,66,61,1,2,3,0.0
353,2020-04-08 21:05:00,11,86,80,1,4,3,0.0
354,2020-04-08 22:03:00,10,90,80,0,8,3,0.0
355,2020-04-08 22:59:00,10,85,77,0,8,3,0.0
356,2020-04-07 01:03:00,10,76,54,1,5,4,0.0
357,2020-04-07 02:09:00,8,89,52,0,8,3,0.0
358,2020-04-07 03:02:00,7,95,53,1,5,3,0.0
359,2020-04-07 04:03:00,6,99,56,1,3,3,0.0
360,2020-04-07 21:04:00,11,65,71,0,8,3,0.0
361,2020-04-07 22:01:00,9,88,73,1,5,3,0.0
362,2020-04-07 23:01:00,7,98,79,0,8,4,0.0
363,2020-04-06 01:08:00,11,74,58,1,0,3,0.0
364,2020-04-06 01:54:00,10,76,56,1,0,3,0.0
365,2020-04-06 02:58:00,10,85,56,2,5,3,0.0
366,2020-04-06 03:59:00,10,82,57,2,5,3,0.0
367,2020-04-06 20:12:00,16,42,56,2,0,4,0.0
368,2020-04-06 20:59:00,15,46,60,1,2,4,0.0
369,2020-04-06 22:01:00,15,55,58,1,4,4,0.0
370,2020-04-06 23:15:00,13,58,59,2,4,4,0.0
371,2020-04-05 01:09:00,10,80,105,2,0,4,0.0
372,2020-04-05 01:54:00,10,78,95,2,0,4,0.0
373,2020-04-05 03:08:00,9,72,92,2,0,4,0.0
374,2020-04-05 03:59:00,8,75,90,2,0,4,0.0
375,2020-04-05 04:54:00,8,76,89,2,0,4,0.0
376,2020-04-05 20:04:00,14,52,54,2,0,4,0.0
377,2020-04-05 21:02:00,13,55,60,2,0,4,0.0
378,2020-04-05 21:59:00,13,60,63,2,0,4,0.0
379,2020-04-05 23:05:00,12,64,62,2,0,3,0.0
380,2020-04-04 01:05:00,9,96,70,1,7,4,0.0
381,2020-04-04 02:08:00,9,97,65,1,3,4,0.0
382,2020-04-04 03:09:00,9,99,63,2,7,4,0.0
383,2020-04-04 03:58:00,9,99,62,2,3,4,0.0
384,2020-04-04 20:29:00,12,69,68,1,5,4,0.0
385,2020-04-04 21:59:00,13,75,90,3,5,4,0.0
386,2020-04-04 23:00:00,13,77,94,3,0,4,0.0
387,2020-04-03 01:05:00,10,84,41,1,5,4,0.0
388,2020-04-03 02:15:00,10,91,41,1,3,3,0.0
389,2020-04-03 03:04:00,10,85,36,2,3,3,0.0
390,2020-04-03 04:02:00,10,86,36,2,3,3,0.0
391,2020-04-03 21:08:00,11,94,60,1,3,4,0.0
392,2020-04-03 21:48:00,11,81,71,1,3,4,0.0
393,2020-04-03 23:03:00,11,80,73,1,7,4,0.0
394,2020-04-02 01:02:00,11,94,46,3,5,3,0.0
395,2020-04-02 01:56:00,11,94,51,2,5,3,0.0
396,2020-04-02 03:15:00,10,89,60,2,5,3,0.0
397,2020-04-02 04:04:00,9,87,87,2,0,3,0.0
398,2020-04-02 21:04:00,14,64,66,2,5,3,0.0
399,2020-04-02 21:54:00,13,70,64,3,5,3,0.0
400,2020-04-02 23:09:00,12,75,57,2,5,4,0.0
401,2020-04-01 01:01:00,9,99,36,2,3,1,2.0
402,2020-04-01 02:12:00,9,99,43,2,7,1,0.0
403,2020-04-01 02:59:00,9,99,49,1,7,1,3.0
404,2020-04-01 03:57:00,10,99,49,2,3,1,4.0
405,2020-04-01 20:08:00,11,90,50,2,3,1,0.0
406,2020-04-01 21:10:00,11,93,59,2,5,1,0.0
407,2020-04-01 22:15:00,11,91,59,2,3,1,0.0
408,2020-04-01 23:06:00,11,93,53,2,3,3,0.0
409,2020-03-31 02:14:00,9,92,39,1,3,1,0.0
410,2020-03-31 02:52:00,9,92,45,1,3,1,0.0
411,2020-03-31 04:13:00,8,97,43,2,3,1,0.0
412,2020-03-31 04:52:00,8,99,46,1,3,0,0.0
413,2020-03-31 20:03:00,9,99,21,2,7,0,0.0
414,2020-03-31 21:05:00,10,99,23,2,7,1,2.0
415,2020-03-31 22:14:00,10,99,23,1,7,0,0.0
416,2020-03-31 23:08:00,10,99,25,2,1,1,0.0
417,2020-03-30 01:09:00,5,96,26,2,5,1,0.0
418,2020-03-30 02:09:00,5,99,30,2,5,1,0.0
419,2020-03-30 02:59:00,5,99,33,2,5,1,0.0
420,2020-03-30 03:59:00,5,99,32,1,3,1,0.0
421,2020-03-30 04:53:00,5,98,30,2,3,1,0.0
422,2020-03-30 20:56:00,10,85,50,1,2,1,0.0
423,2020-03-30 22:09:00,9,91,48,2,1,1,0.0
424,2020-03-30 23:15:00,9,91,45,2,1,1,0.0
425,2020-03-29 01:03:00,7,86,47,1,1,1,0.0
426,2020-03-29 02:05:00,7,87,39,1,6,1,0.0
427,2020-03-29 03:02:00,6,90,46,2,6,1,0.0
428,2020-03-29 03:56:00,5,97,42,2,2,0,0.0
429,2020-03-29 04:59:00,5,98,35,2,4,0,0.0
430,2020-03-29 20:00:00,5,95,16,2,0,0,4.0
431,2020-03-29 21:02:00,5,94,17,2,0,1,4.0
432,2020-03-29 21:52:00,5,94,20,2,5,1,0.0
433,2020-03-29 23:04:00,5,95,20,2,3,1,0.0
434,2020-03-28 02:03:00,4,96,25,3,5,0,0.0
435,2020-03-28 02:53:00,3,97,22,3,0,0,0.0
436,2020-03-28 04:04:00,2,98,21,2,5,0,2.0
437,2020-03-28 20:04:00,8,62,47,2,4,1,0.0
438,2020-03-28 20:56:00,7,68,42,2,4,1,0.0
439,2020-03-28 22:00:00,8,70,53,1,4,1,0.0
440,2020-03-28 23:04:00,7,83,44,1,6,1,0.0
441,2020-03-27 02:04:00,9,95,16,3,3,0,1.0
442,2020-03-27 02:54:00,8,97,18,4,3,1,5.0
443,2020-03-27 04:00:00,8,98,17,2,3,1,2.0
444,2020-03-27 04:56:00,7,98,19,3,3,1,4.0
445,2020-03-27 20:04:00,7,91,46,2,3,0,4.0
